"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Com essa funcionalidade iremos realizar o logout de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso clicar no campo ""Sair""
  Para o logout ser efetuado com sucesso","2497","Validar o logout na aplicação","","Wed Feb 19 04:38:34 GMT 2025","passed","Wed Feb 19 04:38:36 GMT 2025","","Logout","Validar o logout na aplicação",""
"  Com essa funcionalidade iremos realizar o login de um usuário cadastrado na aplicação

  Como um usuário cadastrado
  Eu preciso inserir dados cadastrais
  Para o login ser efetuado com sucesso","9610","Validar o login na aplicação","","Wed Feb 19 04:38:24 GMT 2025","passed","Wed Feb 19 04:38:34 GMT 2025","","Login","Validar o login na aplicação",""
